,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.4358789693263725,,Intercept,344.0021495685587,344.0,-0.00214956855870696,344.0
1,1,grade:A,0.9838799199144695,2.118565976939028e-27,grade,82.95565150418065,83.0,0.04434849581934941,83.0
2,2,grade:B,0.7820985481460092,4.302693640532918e-38,grade,65.94249286799763,66.0,0.05750713200237101,66.0
3,3,grade:C,0.5976871770621672,2.1700501063028688e-26,grade,50.393882592092,50.0,-0.39388259209199816,50.0
4,4,grade:D,0.4176985696415796,5.552334262121223e-15,grade,35.21817680758627,35.0,-0.21817680758626778,35.0
5,5,grade:E,0.2711276494549977,1.4250646251430922e-08,grade,22.86007707453942,23.0,0.13992292546058138,23.0
6,6,grade:F,0.08096480613203587,0.10455032409329743,grade,6.826532492071383,7.0,0.17346750792861698,7.0
7,7,home_ownership:OWN,0.09169589513311337,5.299405804212271e-06,home_ownership,7.7313222549431755,8.0,0.2686777450568245,8.0
8,8,home_ownership:MORTGAGE,0.10522939003706006,8.902482807907646e-17,home_ownership,8.8723963475855,9.0,0.1276036524144999,9.0
9,9,addr_state:NM_VA,0.041251928329205996,0.1975627193069247,addr_state,3.4781486247331257,3.0,-0.4781486247331257,3.0
10,10,addr_state:NY,0.06129314296977343,0.011256099591690343,addr_state,5.167919890303747,5.0,-0.16791989030374666,5.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06234760654250937,0.007026411824560558,addr_state,5.256826789299449,5.0,-0.25682678929944913,5.0
12,12,addr_state:CA,0.06474776268159377,0.002196844110362503,addr_state,5.459195505439945,5.0,-0.45919550543994525,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.08152254672022173,0.0010477720242018447,addr_state,6.87355828549067,7.0,0.12644171450932973,7.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1431378116007856,2.047859431972866e-10,addr_state,12.06863782447971,12.0,-0.06863782447971012,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11173811052723627,0.00018171836087139045,addr_state,9.421177898862728,9.0,-0.4211778988627284,9.0
16,16,addr_state:GA_WA_OR,0.19138148853416415,6.990902175992173e-13,addr_state,16.136294425616097,16.0,-0.1362944256160965,16.0
17,17,addr_state:WI_MT,0.24439306106667238,2.7547145845711696e-07,addr_state,20.60595525280082,21.0,0.3940447471991817,21.0
18,18,addr_state:TX,0.2235655865290357,6.674109903180617e-18,addr_state,18.84989063100573,19.0,0.15010936899426852,19.0
19,19,addr_state:IL_CT,0.269493545987218,2.806871585178596e-20,addr_state,22.722297946160932,23.0,0.277702053839068,23.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32333275188012406,8.90541278452928e-26,addr_state,27.261740525395613,27.0,-0.2617405253956129,27.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.46347300040522754,5.462572822691409e-19,addr_state,39.077639379565106,39.0,-0.07763937956510603,39.0
22,22,verification_status:Not Verified,0.08396213069901638,8.981434331009778e-09,verification_status,7.079251352565018,7.0,-0.07925135256501825,7.0
23,23,verification_status:Source Verified,-0.010588371267831237,0.43060612423083944,verification_status,-0.8927565438752378,-1.0,-0.10724345612476216,-1.0
24,24,purpose:credit_card,0.27198779623933067,1.2028338939182597e-21,purpose,22.93260018984984,23.0,0.06739981015016028,23.0
25,25,purpose:debt_consolidation,0.17280860172710336,4.3111007840976615e-11,purpose,14.570324946813168,15.0,0.4296750531868323,15.0
26,26,purpose:oth__med__vacation,0.19343891730925894,6.211885045216824e-10,purpose,16.309766148137147,16.0,-0.30976614813714676,16.0
27,27,purpose:major_purch__car__home_impr,0.23081220105116565,1.8214868885206113e-13,purpose,19.46088757963256,19.0,-0.46088757963255844,19.0
28,28,initial_list_status:w,0.05601943316470865,1.7820150067965574e-05,initial_list_status,4.723268034047583,5.0,0.27673196595241656,5.0
29,29,term:36,0.0701927092520278,5.480128934943148e-07,term,5.918285157554275,6.0,0.08171484244572458,6.0
30,30,emp_length:1,0.1024436242217281,7.824164419233943e-05,emp_length,8.637515023684687,9.0,0.3624849763153133,9.0
31,31,emp_length:2-4,0.12632897821062586,2.033546743380174e-11,emp_length,10.651404179720355,11.0,0.34859582027964464,11.0
32,32,emp_length:5-6,0.09373404313247871,1.145859878054583e-05,emp_length,7.9031683224632765,8.0,0.0968316775367235,8.0
33,33,emp_length:7-9,0.06675513372283555,0.001297466272419305,emp_length,5.628446619489832,6.0,0.37155338051016784,6.0
34,34,emp_length:10,0.1314747103306975,8.652336759674254e-13,emp_length,11.085265621392669,11.0,-0.08526562139266858,11.0
35,35,mths_since_issue_d:<38,1.099798337658214,1.8260017866086703e-190,mths_since_issue_d,92.72929122446486,93.0,0.27070877553514094,93.0
36,36,mths_since_issue_d:38-39,0.9017176140776506,9.549805149088823e-162,mths_since_issue_d,76.02815204838164,76.0,-0.028152048381642203,76.0
37,37,mths_since_issue_d:40-41,0.8078952902404186,8.121590436723553e-137,mths_since_issue_d,68.1175403548018,68.0,-0.11754035480180391,68.0
38,38,mths_since_issue_d:42-48,0.6142495204554961,2.2919453465769796e-102,mths_since_issue_d,51.790333478851636,52.0,0.20966652114836393,52.0
39,39,mths_since_issue_d:49-52,0.46086286521020253,3.286129457593716e-51,mths_since_issue_d,38.85756631858006,39.0,0.14243368141993784,39.0
40,40,mths_since_issue_d:53-64,0.21419402037854274,9.072636663459752e-14,mths_since_issue_d,18.059728783108426,18.0,-0.05972878310842589,18.0
